section,sku_idx,sku_id,source_url,add_button_id,name,description,weight_text,price_rub,image_url,image_path,image_width,image_height,img_brightness,img_contrast,img_saturation,img_warmth,img_sharpness,image_quality_score,food_styling_score,appetite_score_data
furshetmenu,1,furshetmenu-001,https://363363.ru/furshetmenu,buttonu57956,Салат «Восторг»,"Курица копченая, ананас, грецкий орех, кукуруза, майонез",,1200.0,https://363363.ru/images/salat-s-ananasami.jpg?crc=4168189161,artifacts/sku-audit/images/furshetmenu/furshetmenu-001.jpg,297,167,145.93,66.08,133.92,1.681,74.61,7.51,6.46,7.04
furshetmenu,2,furshetmenu-002,https://363363.ru/furshetmenu,buttonu17335,Рыбное ассорти,"Лосось слабосоленый, угорь х/к, лимон, маслины, зелень",,950.0,https://363363.ru/images/rybnoe_assorti.jpg?crc=4174051548,artifacts/sku-audit/images/furshetmenu/furshetmenu-002.jpg,269,169,178.77,60.15,110.42,1.613,60.31,6.35,6.04,6.21
furshetmenu,3,furshetmenu-003,https://363363.ru/furshetmenu,buttonu17343,Карбонат деликатесный запеченный,Карбонат деликатесный запеченный,,1900.0,https://363363.ru/images/main-57-a5ecedb569c2cfe7e345c9ef04e2ce06-crop-u17339.jpg?crc=4249559983,artifacts/sku-audit/images/furshetmenu/furshetmenu-003.jpg,251,168,150.34,78.35,100.32,1.402,61.81,7.04,5.28,6.25
furshetmenu,4,furshetmenu-004,https://363363.ru/furshetmenu,buttonu17358,Рулет куриный с яйцом и морковью,"Мясо птицы, яйцо, морковь отварная, майонез, томатная паста, специи.",,1400.0,https://363363.ru/images/%d0%ba%d1%83%d1%80%d0%b8%d0%bd%d1%8b%d0%b9%20%d1%80%d1%83%d0%bb%d0%b5%d1%821333.jpg?crc=332050248,artifacts/sku-audit/images/furshetmenu/furshetmenu-004.jpg,253,189,136.0,64.01,128.62,1.692,58.84,6.06,6.26,6.15
furshetmenu,5,furshetmenu-005,https://363363.ru/furshetmenu,buttonu17802,Цукини обжаренные с помидорками черри,"Кабачки, масло растительное, сыр, чеснок, помидоры черри, майонез",,1400.0,https://363363.ru/images/%d1%86%d1%83%d0%ba%d0%b8%d0%bd%d0%b8234.jpg?crc=89524891,artifacts/sku-audit/images/furshetmenu/furshetmenu-005.jpg,344,229,138.7,56.46,148.87,1.882,48.26,4.89,7.05,5.86
furshetmenu,6,furshetmenu-006,https://363363.ru/furshetmenu,buttonu17854,Салат Генеральский,"Говядина, перец болгарский, огурцы м/с, грудка п/к, яйцо, шампиньоны, зелень, майонез",,1800.0,https://363363.ru/images/information_items_12913-crop-u17857.jpg?crc=517347454,artifacts/sku-audit/images/furshetmenu/furshetmenu-006.jpg,251,168,129.1,54.65,161.83,1.974,69.09,6.44,7.42,6.88
furshetmenu,7,furshetmenu-007,https://363363.ru/furshetmenu,buttonu17912,Салат Цезарь с курицей,"Салат пекинский, мясо птицы, помидоры черри, сыр, сухарики, укроп, майонез",,1200.0,https://363363.ru/images/%d1%86%d0%b5%d0%b7%d0%b0%d1%80%d1%8c.jpg?crc=3774747153,artifacts/sku-audit/images/furshetmenu/furshetmenu-007.jpg,252,169,195.8,56.52,72.44,1.191,65.85,6.79,4.67,5.84
furshetmenu,8,furshetmenu-008,https://363363.ru/furshetmenu,buttonu17962,Салат Столичный,"Куриное филе, картофель, огурцы свежие, морковь, яйцо, майонез, зелень",,1000.0,https://363363.ru/images/1305.jpg?crc=3959822156,artifacts/sku-audit/images/furshetmenu/furshetmenu-008.jpg,253,168,178.81,48.7,68.77,1.094,60.43,5.88,4.31,5.17
furshetmenu,9,furshetmenu-009,https://363363.ru/furshetmenu,buttonu18015,Гранатовый браслет,"Куриное филе, картофель, яйцо, свекла, морковь, гранат, майонез",,1300.0,https://363363.ru/images/402989013-crop-u18006.jpg?crc=204307986,artifacts/sku-audit/images/furshetmenu/furshetmenu-009.jpg,251,167,114.5,63.53,143.95,1.562,76.37,7.3,6.3,6.85
furshetmenu,10,furshetmenu-010,https://363363.ru/furshetmenu,buttonu18066,Сельдь под шубой,"морковь, майонез, свекла",,1300.0,https://363363.ru/images/79c07af8ad4b96674a100dd200ff32c3_cropped_612x408.jpg?crc=80195737,artifacts/sku-audit/images/furshetmenu/furshetmenu-010.jpg,252,168,142.5,70.18,135.12,1.477,71.49,7.41,6.19,6.86
furshetmenu,11,furshetmenu-011,https://363363.ru/furshetmenu,buttonu18117,Салат Оливье,"Колбаса вареная, картофель, огурцы маринованные, яйцо, зеленый горошек, майонез, зелень",,1100.0,https://363363.ru/images/olive-s-kolbasoy-620x350.jpg?crc=3763847729,artifacts/sku-audit/images/furshetmenu/furshetmenu-011.jpg,298,168,194.48,51.95,78.97,1.363,56.74,5.84,5.05,5.48
