section,period,device,visits,users,bounce,checkout_begin,forms,phone,checkout_cr_pct,forms_cr_pct,phone_cr_pct
furshetmenu,all,Smartphones,1118.0,763.0,25.04,0.0,5.0,10.0,0.0,0.45,0.89
furshetmenu,all,PC,1005.0,334.0,6.27,0.0,12.0,0.0,0.0,1.19,0.0
furshetmenu,all,Tablets,58.0,35.0,31.03,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,recent,Smartphones,82.0,59.0,36.59,0.0,0.0,1.0,0.0,0.0,1.22
furshetmenu,recent,PC,24.0,23.0,41.67,0.0,0.0,0.0,0.0,0.0,0.0
hot,all,Smartphones,1414.0,1205.0,21.57,0.0,12.0,3.0,0.0,0.85,0.21
hot,all,PC,1157.0,923.0,12.53,0.0,1.0,0.0,0.0,0.09,0.0
hot,all,Tablets,107.0,81.0,14.95,0.0,2.0,0.0,0.0,1.87,0.0
hot,all,TV,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,recent,Smartphones,51.0,46.0,31.37,0.0,2.0,1.0,0.0,3.92,1.96
hot,recent,PC,6.0,6.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,all,Smartphones,4018.0,3099.0,14.29,0.0,14.0,7.0,0.0,0.35,0.17
zakuski,all,PC,1580.0,1116.0,7.22,0.0,11.0,0.0,0.0,0.7,0.0
zakuski,all,Tablets,146.0,92.0,9.59,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,recent,Smartphones,147.0,121.0,12.24,0.0,1.0,1.0,0.0,0.68,0.68
zakuski,recent,PC,53.0,51.0,11.32,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,recent,Tablets,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,all,Smartphones,1592.0,1373.0,20.16,0.0,6.0,2.0,0.0,0.38,0.13
desert,all,PC,729.0,532.0,10.43,0.0,5.0,0.0,0.0,0.69,0.0
desert,all,Tablets,59.0,53.0,18.64,0.0,0.0,0.0,0.0,0.0,0.0
desert,all,TV,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,recent,Smartphones,60.0,55.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,recent,PC,18.0,17.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0
desert,recent,Tablets,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
napitki,all,PC,142.0,117.0,57.04,0.0,1.0,0.0,0.0,0.7,0.0
napitki,all,Smartphones,83.0,71.0,40.96,0.0,0.0,0.0,0.0,0.0,0.0
napitki,all,Tablets,36.0,19.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0
napitki,recent,PC,3.0,3.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0
napitki,recent,Smartphones,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
