section,path,visits,users,checkout_begin,forms,phone,checkout_cr_pct,forms_cr_pct,phone_cr_pct
furshetmenu,/furshetmenu.html,1709.0,781.0,0.0,14.0,6.0,0.0,0.82,0.35
furshetmenu,/phone/furshetmenu,333.0,254.0,0.0,3.0,4.0,0.0,0.9,1.2
furshetmenu,/furshetmenu,81.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,/phone/furshetmenu.html,52.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,/Preview/12.05.20172/furshetmenu.html,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,/Preview/06.09.2018/furshetmenu.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,/Preview/06.12.2022/furshetmenu.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,/Preview/09.02.2024/phone/furshetmenu.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
furshetmenu,/Preview/23.12.2017/furshetmenu.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,/hot.html,2487.0,2064.0,0.0,7.0,0.0,0.0,0.28,0.0
hot,/phone/hot,160.0,118.0,0.0,7.0,2.0,0.0,4.38,1.25
hot,/hot,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,/phone/hot-rolls,5.0,5.0,0.0,1.0,1.0,0.0,20.0,20.0
hot,/phone/hot.html,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,/Preview/19.09.2018/hot.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,/zakuski.html,4809.0,3548.0,0.0,19.0,0.0,0.0,0.4,0.0
zakuski,/phone/zakuski,645.0,539.0,0.0,6.0,7.0,0.0,0.93,1.09
zakuski,/zakuski,201.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,/phone/zakuski.html,86.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,/Preview/09.01.2020/zakuski.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,/Preview/17.05.2017-форма3/zakuski.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
zakuski,/Preview/17.12.2018/zakuski.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,/desert.html,2153.0,1751.0,0.0,6.0,1.0,0.0,0.28,0.05
desert,/phone/desert,176.0,161.0,0.0,4.0,1.0,0.0,2.27,0.57
desert,/desert,39.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,/phone/desert.html,11.0,11.0,0.0,1.0,0.0,0.0,9.09,0.0
desert,/Preview/04.08.2019/desert.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,/Preview/29.12.2020/desert.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
napitki,/napitki.html,243.0,190.0,0.0,1.0,0.0,0.0,0.41,0.0
napitki,/napitki,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
napitki,/phone/napitki,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
napitki,/Preview/11.05.2017/napitki.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
