section,sku_id,name,price_rub,appetite_score_data,image_quality_score,food_styling_score,taste_bucket,image_path,image_url
furshetmenu,furshetmenu-017,Салат кокетка с ананасом,1100.0,2.91,2.8,3.04,low,artifacts/sku-audit/images/furshetmenu/furshetmenu-017.png,https://363363.ru/images/no_product.png?crc=4237949635
furshetmenu,furshetmenu-020,Салат мужской каприз,1800.0,2.91,2.8,3.04,low,artifacts/sku-audit/images/furshetmenu/furshetmenu-020.png,https://363363.ru/images/no_product.png?crc=4237949635
furshetmenu,furshetmenu-023,Рулет из скумбрии,1450.0,3.14,3.24,3.02,low,artifacts/sku-audit/images/furshetmenu/furshetmenu-023.png,https://363363.ru/images/no_product-crop-u80804.png?crc=3897203627
hot,hot-037,Фаршированные куриные ножки,1200.0,3.14,3.24,3.02,low,artifacts/sku-audit/images/hot/hot-037.png,https://363363.ru/images/no_product-crop-u80965.png?crc=234032600
desert,desert-022,Десерт Трайфл изумрудный,250.0,3.14,3.24,3.02,low,artifacts/sku-audit/images/desert/desert-022.png,https://363363.ru/images/no_product-crop-u81128.png?crc=4198338705
desert,desert-024,Медовые пирожные,150.0,3.14,3.24,3.02,low,artifacts/sku-audit/images/desert/desert-024.png,https://363363.ru/images/no_product-crop-u81221.png?crc=4198338705
desert,desert-025,Десерт Павлова,150.0,3.14,3.24,3.02,low,artifacts/sku-audit/images/desert/desert-025.png,https://363363.ru/images/no_product-crop-u81276.png?crc=4198338705
napitki,napitki-012,Сок Добрый Виноград,,3.25,4.33,1.93,low,artifacts/sku-audit/images/napitki/napitki-012.png,https://363363.ru/images/vinograd-800x600.png?crc=102690422
desert,desert-021,Десерт Баннофи пай,270.0,4.06,4.53,3.49,low,artifacts/sku-audit/images/desert/desert-021.jpg,https://363363.ru/images/36aaa2a61a03e926fd29e96f539255d1.jpg?crc=448194525
desert,desert-018,Пирожное презент,150.0,4.13,4.72,3.42,low,artifacts/sku-audit/images/desert/desert-018.jpg,https://363363.ru/images/image%20147.jpg?crc=4195451552
desert,desert-019,Пирожное йогуртовое,150.0,4.55,4.94,4.07,low,artifacts/sku-audit/images/desert/desert-019.jpg,https://363363.ru/images/51188528-crop-u56971.jpg?crc=419396842
hot,hot-027,Бефстроганов из куриного филе,950.0,4.64,5.14,4.04,low,artifacts/sku-audit/images/hot/hot-027.jpg,https://363363.ru/images/image%2070%20(3).jpg?crc=286220854
desert,desert-023,Пирожное ШУ французское,270.0,4.72,4.94,4.45,low,artifacts/sku-audit/images/desert/desert-023.jpg,https://363363.ru/images/%d0%b8%d0%b7%d0%be%d0%b1%d1%80%d0%b0%d0%b6%d0%b5%d0%bd%d0%b8%d0%b5%20whatsapp%202024-01-23%20%d0%b2%20151143_1ae2e5aa.jpg?crc=3836971580
napitki,napitki-001,Bon Aqua газ.,,4.75,5.98,3.25,low,artifacts/sku-audit/images/napitki/napitki-001.jpg,https://363363.ru/images/147m.jpg?crc=3974552521
furshetmenu,furshetmenu-019,Селедочка с луком,1050.0,4.9,5.22,4.52,low,artifacts/sku-audit/images/furshetmenu/furshetmenu-019.jpg,https://363363.ru/images/111-07.jpg?crc=435264988
desert,desert-006,Буше,150.0,4.9,4.99,4.79,low,artifacts/sku-audit/images/desert/desert-006.jpg,https://363363.ru/images/ss14.jpg?crc=3771460627
hot,hot-030,Семга на пару,2950.0,4.94,5.91,3.75,low,artifacts/sku-audit/images/hot/hot-030.jpg,https://363363.ru/images/image%2070%20(6).jpg?crc=3819116667
hot,hot-021,Вкусные рулетики из кабачков с курицей,,4.95,4.18,5.89,low,artifacts/sku-audit/images/hot/hot-021.jpg,https://363363.ru/images/88db3606da5154dfb50c797a0d3fbd21-crop-u50128.jpg?crc=3970518633
napitki,napitki-006,Сок апельсиновый свежевыжатый,350.0,5.01,4.77,5.31,mid,artifacts/sku-audit/images/napitki/napitki-006.jpg,https://363363.ru/images/%d1%81%d0%be%d0%ba-%d0%b0%d0%bf%d0%b5%d0%bb%d1%8c%d1%81%d0%b8%d0%bd%d0%be%d0%b2%d1%8b%d0%b9-%d1%81%d0%b2%d0%b5%d0%b6%d0%b5%d0%b2%d1%8b%d0%b6%d0%b0%d1%82%d1%8b%d0%b9.jpg?crc=135755
desert,desert-015,Пирожное молочная девочка,150.0,5.02,6.33,3.41,mid,artifacts/sku-audit/images/desert/desert-015.jpg,https://363363.ru/images/148_pirozhnoe-molochnaya-devochka-crop-u51736.jpg?crc=72238692
napitki,napitki-011,Сок Добрый Ананас,,5.07,6.16,3.73,mid,artifacts/sku-audit/images/napitki/napitki-011.jpg,https://363363.ru/images/ananasovyj-800x600.jpg?crc=192939750
zakuski,zakuski-015,Блины с красной икрой,420.0,5.09,5.67,4.38,mid,artifacts/sku-audit/images/zakuski/zakuski-015.jpg,https://363363.ru/images/00000008.jpg?crc=4112249787
